,Out-of-Sample Predictions
2020-01-02,160.94207478617864
2020-01-03,160.9855707616415
2020-01-06,161.53388783647776
2020-01-07,161.81789957661945
2020-01-08,162.30993069433478
2020-01-09,162.35796682178068
2020-01-10,162.46714073976733
2020-01-13,162.8629004133355
2020-01-14,162.95569014735355
2020-01-15,163.39676484624692
2020-01-16,163.59145749255796
2020-01-17,163.56917304848648
2020-01-21,163.81510799933716
2020-01-22,164.21068292609002
2020-01-23,164.62698730516635
2020-01-24,164.86538503295114
2020-01-27,165.36914745370146
2020-01-28,165.97129158776895
2020-01-29,166.04451340678474
2020-01-30,166.17632976159683
2020-01-31,166.12355065657218
2020-02-03,166.68001793611478
2020-02-04,166.71894110811132
2020-02-05,166.64453794995399
2020-02-06,167.0231305925038
2020-02-07,167.11060822124057
2020-02-10,167.4927941167702
2020-02-11,167.59487789199568
2020-02-12,168.25080011031733
2020-02-13,168.63504606339296
2020-02-14,169.09881099925
2020-02-18,169.365816171317
2020-02-19,169.61578949067464
2020-02-20,170.00810813991615
2020-02-21,170.62522974467632
2020-02-24,171.345755967473
2020-02-25,172.20190862772407
2020-02-26,172.7540539725123
2020-02-27,172.971003937783
2020-02-28,174.1534305840861
2020-03-02,174.19780291857626
2020-03-03,173.78860621724678
2020-03-04,174.60406233984733
2020-03-05,174.5142599274135
2020-03-06,175.08808594599506
2020-03-09,175.9808544478048
2020-03-10,177.7242337390253
2020-03-11,176.54001698409337
2020-03-12,177.80617046584598
2020-03-13,180.1532955545313
2020-03-16,173.2851402624273
2020-03-17,180.71204789370026
2020-03-18,176.846595122362
2020-03-19,179.21826899030842
2020-03-20,178.68707464390536
2020-03-23,182.09808109006354
2020-03-24,183.20564859950372
2020-03-25,175.60591005421654
2020-03-26,176.64070997498
2020-03-27,171.67421140837877
2020-03-30,175.2325876122127
2020-03-31,169.87528535582533
2020-04-01,171.41461809263186
2020-04-02,174.52931587403035
2020-04-03,173.18244609014428
2020-04-06,174.24984915937057
2020-04-07,168.57293841791983
2020-04-08,169.73382431628394
2020-04-09,169.26604665867632
2020-04-13,169.6343606726202
2020-04-14,169.8338929276089
2020-04-15,166.35423175775674
2020-04-16,167.52015744416425
2020-04-17,165.5830506518878
2020-04-20,165.30331869357292
2020-04-21,167.18647558885974
2020-04-22,170.73611893103163
2020-04-23,168.48557745510453
2020-04-24,169.81083939362378
2020-04-27,168.7804326587841
2020-04-28,169.38323160471938
2020-04-29,171.6497437817596
2020-04-30,168.52348485041617
2020-05-01,168.1335785569629
2020-05-04,170.52982429946462
2020-05-05,169.03711828696177
2020-05-06,168.6174336281203
2020-05-07,168.26724471054732
2020-05-08,168.22840851390018
2020-05-11,168.2166227256218
2020-05-12,167.80037098041385
2020-05-13,169.9723022150297
2020-05-14,171.5886747301363
2020-05-15,171.69740286512817
2020-05-18,171.01632596957293
2020-05-19,170.72703877116936
2020-05-20,171.71475045192233
2020-05-21,171.3073722801488
2020-05-22,172.69403652934406
2020-05-26,173.13635390552417
2020-05-27,174.44307157246055
2020-05-28,174.81988711071273
2020-05-29,175.48075770612274
2020-06-01,175.08215558634828
2020-06-02,175.70367055070525
2020-06-03,175.20807756561737
2020-06-04,175.44415802282012
2020-06-05,176.9559118230015
2020-06-08,175.4475384091236
2020-06-09,175.37331077667653
2020-06-10,175.17949458274396
2020-06-11,172.55656583718198
2020-06-12,177.35085571249985
2020-06-15,177.10957761759244
2020-06-16,176.9935637278488
2020-06-17,175.3698957633694
2020-06-18,175.49671807894796
2020-06-19,175.02549226492616
2020-06-22,175.99427193890696
2020-06-23,174.18054621955983
2020-06-24,174.1107349772032
2020-06-25,176.23526984109157
2020-06-26,175.67176930408357
2020-06-29,177.79194114816178
2020-06-30,177.36528853585847
2020-07-01,175.7048829810232
2020-07-02,175.6881523575962
2020-07-06,175.56157076493014
2020-07-07,174.2959624245013
