,Real,Predicted
0,56.68999999999999,66.2003
1,52.18999999999999,63.68722
2,53.5,59.23618
3,51.44,57.978683
4,48.94,56.354015
5,53.5,54.209034
6,25.75,56.493824
7,24.25,39.34778
8,22.31,29.917208
9,23.620000000000005,25.091494
10,22.06,25.009792
11,22.19,25.08055
12,21.75,25.847279
13,20.87,26.23817
14,19.62,25.937626
15,20.0,24.959219
16,22.06,24.74553
17,21.5,26.092117
18,20.12,26.445864
19,20.12,25.645212
20,18.94,25.180094
21,19.5,24.171852
22,20.37,24.098282
23,18.87,24.740088
24,18.5,24.120642
25,18.5,23.561523
26,18.56,23.311491
27,19.31,23.286625
28,19.56,23.830036
29,20.5,24.2969
30,22.31,25.137077
31,22.25,26.714067
32,21.44,27.365524
33,21.31,26.987427
34,20.06,26.569597
35,20.19,25.470331
36,19.06,25.021639
37,19.37,24.12516
38,20.25,23.97771
39,19.87,24.601099
40,19.0,24.730478
41,18.5,24.21183
42,18.94,23.602755
43,18.81,23.618565
44,18.5,23.597292
45,19.31,23.416763
46,18.69,23.889336
47,18.03,23.72815
48,17.56,23.190283
49,16.5,22.6048
50,17.06,21.641176
51,16.69,21.604216
52,17.0,21.44026
53,14.31,21.635242
54,14.31,19.97538
55,15.06,19.17017
56,15.190000000000001,19.382668
57,15.38,19.70545
58,15.0,20.056013
59,14.44,19.981375
60,14.059999999999999,19.545353
61,14.25,19.062967
62,14.000000000000002,18.974653
63,14.38,18.812565
64,14.059999999999999,19.02461
65,15.0,18.944859
66,14.689999999999998,19.538557
67,14.81,19.626501
68,14.81,19.715553
69,14.88,19.72664
70,14.88,19.755838
71,16.37,19.756681
72,17.06,20.745642
73,16.37,21.689552
74,16.56,21.627789
75,17.19,21.61625
76,16.56,21.9671
77,18.0,21.688484
78,17.19,22.478643
79,17.12,22.3199
80,16.81,22.146765
81,18.69,21.827473
82,19.5,22.929039
83,19.25,24.037338
84,20.5,24.362955
85,20.5,25.244856
86,19.94,25.58353
87,19.56,25.267115
88,21.69,24.767973
89,21.75,25.919043
90,21.62,26.549885
91,21.12,26.720186
92,20.62,26.383791
93,20.19,25.820278
94,21.12,25.24305
95,20.75,25.617247
96,20.75,25.618212
97,19.12,25.63587
98,19.69,24.555658
99,19.12,24.404842
100,19.5,24.017607
101,20.06,24.142366
102,19.0,24.635635
103,18.31,24.195383
104,18.87,23.49594
105,18.81,23.53555
106,18.81,23.571297
107,19.5,23.62571
108,19.37,24.129246
109,18.25,24.293388
110,18.75,23.59296
111,19.25,23.548239
112,20.37,23.885721
113,21.5,24.828423
114,21.25,26.041586
115,20.81,26.402168
116,20.25,26.157803
117,18.62,25.55698
118,19.56,24.128466
119,20.44,24.076536
120,19.69,24.75247
121,19.62,24.665901
122,20.56,24.574406
123,19.69,25.151451
124,20.12,24.856962
125,21.62,24.9662
126,23.0,26.016556
127,21.78,27.45199
128,22.87,27.270908
129,22.17,27.766539
130,22.529999999999998,27.459301
131,22.07,27.479834
132,21.589999999999996,27.160337
133,20.24,26.675055
134,19.5,25.549814
135,20.87,24.545351
136,20.59,25.069626
137,20.54,25.273294
138,22.04,25.3883
139,21.8,26.450237
140,22.420000000000005,26.802279
141,21.44,27.315384
142,20.4,26.835152
143,22.789999999999996,25.825905
144,25.72,26.913507
145,25.04,29.476255
146,24.25,30.26348
147,24.03,29.928972
148,24.72,29.429358
149,24.690000000000005,29.562187
150,26.2,29.605534
151,25.49,30.636896
152,25.930000000000003,30.664986
153,26.59,30.903519
154,24.96,31.410217
155,25.75,30.527372
156,24.96,30.564249
157,24.57,30.075066
158,23.98,29.595636
159,23.0,29.006744
160,22.85,28.120285
161,23.29,27.658
162,23.18,27.827995
163,24.1,27.932693
164,23.550000000000004,28.642752
165,23.530000000000005,28.6354
166,23.56,28.575916
167,23.5,28.5345
168,23.23,28.462059
169,23.2,28.243586
170,22.76,28.120264
171,21.47,27.782412
172,19.78,26.77267
173,19.95,25.177753
174,20.89,24.592659
175,20.66,25.094635
176,20.94,25.330624
177,20.73,25.681309
178,21.66,25.7125
179,21.32,26.322992
180,20.04,26.374695
181,20.31,25.493246
182,20.47,25.201797
183,19.88,25.202374
184,20.44,24.859304
185,20.33,25.095251
186,20.19,25.174385
187,21.67,25.128021
188,22.49,26.090742
189,22.26,27.112843
190,23.989999999999995,27.40111
