,Real,Predicted
0,56.68999999999999,146.63373
1,52.18999999999999,145.96497
2,53.5,144.90509
3,51.44,144.72289
4,48.94,144.57182
5,53.5,144.23709
6,25.75,144.85287
7,24.25,140.9655
8,22.31,138.80711
9,23.620000000000005,138.27626
10,22.06,138.9459
11,22.19,139.37216
12,21.75,139.5892
13,20.87,139.54475
14,19.62,139.31895
15,20.0,139.00362
16,22.06,138.95912
17,21.5,139.3433
18,20.12,139.46733
19,20.12,139.23888
20,18.94,139.08655
21,19.5,138.8609
22,20.37,138.88647
23,18.87,139.09758
24,18.5,138.97311
25,18.5,138.81935
26,18.56,138.76324
27,19.31,138.78358
28,19.56,138.93599
29,20.5,139.05035
30,22.31,139.22192
31,22.25,139.55347
32,21.44,139.64879
33,21.31,139.47836
34,20.06,139.32938
35,20.19,139.08003
36,19.06,139.02057
37,19.37,138.8782
38,20.25,138.89604
39,19.87,139.08693
40,19.0,139.1265
41,18.5,138.97192
42,18.94,138.80217
43,18.81,138.81929
44,18.5,138.85025
45,19.31,138.82649
46,18.69,138.9422
47,18.03,138.90231
48,17.56,138.75653
49,16.5,138.61578
50,17.06,138.41313
51,16.69,138.44841
52,17.0,138.46263
53,14.31,138.5308
54,14.31,138.13707
55,15.06,137.9423
56,15.190000000000001,138.05171
57,15.38,138.19032
58,15.0,138.28528
59,14.44,138.24141
60,14.059999999999999,138.10344
61,14.25,137.9786
62,14.000000000000002,137.97961
63,14.38,137.97583
64,14.059999999999999,138.0468
65,15.0,138.0343
66,14.689999999999998,138.16574
67,14.81,138.17574
68,14.81,138.17088
69,14.88,138.15701
70,14.88,138.1582
71,16.37,138.16006
72,17.06,138.39809
73,16.37,138.61696
74,16.56,138.55748
75,17.19,138.49718
76,16.56,138.56013
77,18.0,138.49693
78,17.19,138.68506
79,17.12,138.65277
80,16.81,138.58977
81,18.69,138.50636
82,19.5,138.77728
83,19.25,139.05139
84,20.5,139.08772
85,20.5,139.2285
86,19.94,139.26045
87,19.56,139.144
88,21.69,139.00806
89,21.75,139.29839
90,21.62,139.47462
91,21.12,139.48502
92,20.62,139.35814
93,20.19,139.20013
94,21.12,139.07773
95,20.75,139.20692
96,20.75,139.24663
97,19.12,139.25133
98,19.69,138.98395
99,19.12,138.94597
100,19.5,138.89284
101,20.06,138.95428
102,19.0,139.09227
103,18.31,138.98283
104,18.87,138.79286
105,18.81,138.80734
106,18.81,138.84836
107,19.5,138.87872
108,19.37,138.99823
109,18.25,139.02559
110,18.75,138.83316
111,19.25,138.80867
112,20.37,138.9117
113,21.5,139.15273
114,21.25,139.42665
115,20.81,139.45784
116,20.25,139.32652
117,18.62,139.1445
118,19.56,138.81699
119,20.44,138.85655
120,19.69,139.09715
121,19.62,139.10913
122,20.56,139.06157
123,19.69,139.1733
124,20.12,139.0915
125,21.62,139.09912
126,23.0,139.3497
127,21.78,139.68404
128,22.87,139.59306
129,22.17,139.63565
130,22.529999999999998,139.53416
131,22.07,139.5292
132,21.589999999999996,139.46988
133,20.24,139.37218
134,19.5,139.12819
135,20.87,138.92392
136,20.59,139.10692
137,20.54,139.21066
138,22.04,139.23448
139,21.8,139.45744
140,22.420000000000005,139.50916
141,21.44,139.57903
142,20.4,139.42818
143,22.789999999999996,139.1687
144,25.72,139.44911
145,25.04,140.10126
146,24.25,140.25537
147,24.03,140.05417
148,24.72,139.84569
149,24.690000000000005,139.87018
150,26.2,139.92148
151,25.49,140.19156
152,25.930000000000003,140.19751
153,26.59,140.211
154,24.96,140.30077
155,25.75,140.07518
156,24.96,140.07204
157,24.57,139.98563
158,23.98,139.89705
159,23.0,139.78636
160,22.85,139.60744
161,23.29,139.53387
162,23.18,139.61855
163,24.1,139.67284
164,23.550000000000004,139.83719
165,23.530000000000005,139.81421
166,23.56,139.76212
167,23.5,139.7349
168,23.23,139.72018
169,23.2,139.67844
170,22.76,139.66003
171,21.47,139.59296
172,19.78,139.36594
173,19.95,139.01074
174,20.89,138.92723
175,20.66,139.13063
176,20.94,139.23758
177,20.73,139.30711
178,21.66,139.27744
179,21.32,139.38669
180,20.04,139.381
181,20.31,139.1513
182,20.47,139.08081
183,19.88,139.11903
184,20.44,139.07265
185,20.33,139.14249
186,20.19,139.16891
187,21.67,139.14835
188,22.49,139.3643
189,22.26,139.59467
190,23.989999999999995,139.61911
191,23.749999999999996,139.83987
192,23.34,139.87683
193,23.54,139.77217
194,23.25,139.72787
195,23.899999999999995,139.67302
196,23.839999999999996,139.76204
197,23.19,139.80907
198,22.03,139.7149
199,22.699999999999996,139.47472
200,21.14,139.48473
201,22.54,139.29813
202,24.36,139.44937
203,24.849999999999998,139.85226
204,23.96,140.09882
205,25.1,139.98378
206,20.79,140.02951
207,19.96,139.367
208,19.98,138.9154
209,19.54,138.84416
210,19.09,138.8804
211,18.47,138.88959
212,18.59,138.81305
213,18.96,138.80331
214,18.93,138.87703
215,18.79,138.91518
216,19.06,138.89844
217,19.82,138.92178
218,19.5,139.05238
219,19.13,139.0564
220,19.25,138.97008
221,18.9,138.93857
222,19.05,138.8825
223,19.02,138.89119
224,19.09,138.90605
225,18.73,138.9276
226,18.44,138.87898
227,18.65,138.80576
228,18.07,138.81401
229,18.12,138.74406
230,17.92,138.72414
231,18.21,138.69995
232,17.81,138.74478
233,18.57,138.71083
234,18.92,138.80956
235,18.4,138.91602
236,17.83,138.86346
237,17.83,138.7201
238,18.55,138.65517
239,18.25,138.76942
240,18.55,138.7979
241,17.72,138.84276
242,17.28,138.72131
243,17.37,138.58229
244,16.99,138.55356
245,16.28,138.51593
246,17.02,138.40405
247,15.680000000000001,138.48505
248,15.729999999999999,138.33871
249,16.45,138.27217
250,15.54,138.38567
251,15.149999999999999,138.31717
252,15.51,138.20798
253,15.51,138.22511
254,15.54,138.2594
255,15.050000000000002,138.28522
256,14.98,138.21422
257,15.88,138.16351
258,16.14,138.29623
259,16.2,138.41357
260,16.0,138.45415
261,16.82,138.40895
262,17.74,138.49887
263,18.01,138.68874
264,17.99,138.8
265,18.01,138.8015
266,16.99,138.76598
267,18.0,138.57318
268,18.3,138.64607
269,19.02,138.76794
270,18.14,138.93608
271,18.95,138.84846
272,19.19,138.89278
273,18.67,138.95491
274,17.63,138.89175
275,17.6,138.68121
276,17.56,138.58688
277,18.59,138.58365
278,18.57,138.78105
279,19.07,138.88231
280,19.57,138.97205
281,19.59,139.06001
282,18.71,139.07335
283,18.71,138.91054
284,18.75,138.82188
285,19.37,138.81628
286,19.61,138.93967
287,19.45,139.04536
288,18.97,139.04704
289,20.0,138.94283
290,19.53,139.0477
291,19.68,139.03952
292,19.84,139.04271
293,21.37,139.06606
294,21.0,139.31677
295,20.53,139.368
296,20.42,139.26242
297,21.3,139.16739
298,21.05,139.27415
299,22.4,139.30658
300,23.76,139.51974
301,22.78,139.82129
302,22.54,139.75694
303,22.54,139.60976
304,21.78,139.5281
305,21.49,139.39462
306,21.0,139.31133
307,20.39,139.2318
308,20.62,139.12875
309,21.01,139.14539
310,21.62,139.24666
311,20.67,139.39769
312,21.0,139.29942
313,21.36,139.26906
314,21.49,139.32022
315,22.07,139.37242
316,22.43,139.4799
317,21.9,139.57272
318,23.3,139.50462
319,23.58,139.66536
320,23.689999999999998,139.78778
321,22.9,139.82814
322,22.610000000000003,139.68547
323,21.649999999999995,139.55254
324,21.23,139.36154
325,21.05,139.24129
326,21.15,139.20915
327,21.699999999999996,139.2534
328,20.78,139.38326
329,22.480000000000004,139.29721
330,22.17,139.49959
331,21.82,139.5536
332,23.02,139.48314
333,23.21,139.61568
334,23.25,139.71259
335,23.27,139.73672
336,23.07,139.72176
337,24.09,139.668
338,24.72,139.80127
339,24.41,139.97174
340,25.35,139.97647
341,25.45,140.08281
342,24.670000000000005,140.13179
343,24.3,140.003
344,24.03,139.865
345,24.98,139.77829
346,24.710000000000004,139.92252
347,25.01,139.9763
348,24.600000000000005,140.02869
349,23.899999999999995,139.97166
350,22.619999999999997,139.8185
351,23.13,139.5521
352,21.5,139.54317
353,22.740000000000002,139.34877
354,23.810000000000002,139.47946
