,Real,Predicted
0,56.49999999999999,246.38492
1,57.69,245.57005
2,58.309999999999995,245.97714
3,57.25,246.1895
4,52.69,245.82655
5,55.13,244.27126
6,53.56,245.10223
7,48.69,244.56721
8,50.06,242.91516
9,50.06,243.37874
10,51.99999999999999,243.37874
11,48.31,244.03676
12,50.81,242.78671
13,49.31000000000001,243.63293
14,47.25000000000001,243.12485
15,48.0,242.42885
16,47.379999999999995,242.682
17,47.94,242.4727
18,46.75,242.66176
19,47.49999999999999,242.26022
20,47.56,242.5132
21,47.68999999999999,242.53346
22,47.06000000000001,242.57732
23,46.69,242.36476
24,48.5,242.24
25,51.44,242.85092
26,50.0,243.84665
27,50.5,243.35844
28,51.69,243.52783
29,54.31,243.9315
30,56.11000000000001,244.82265
31,56.81,245.4368
32,58.06000000000001,245.67606
33,59.19,246.10387
34,59.5,246.49124
35,60.93999999999999,246.59763
36,63.44,247.09236
37,62.44,247.95363
38,58.440000000000005,247.60878
39,62.0,246.23405
40,58.88,247.45718
41,58.440000000000005,246.38492
42,57.75,246.23405
43,58.0,245.99768
44,56.86,246.0833
45,55.23,245.69316
46,60.66,245.13635
47,59.94,246.9961
48,61.04999999999999,246.74869
49,56.68999999999999,247.13019
50,52.18999999999999,245.63501
51,53.5,244.10132
52,51.44,244.5468
53,48.94,243.84665
54,53.5,242.9997
55,25.75,244.5468
56,24.25,235.28822
57,22.31,234.79852
58,23.620000000000005,234.16689
59,22.06,234.59319
60,22.19,234.08559
61,21.75,234.12787
62,20.87,233.98488
63,19.62,233.69922
64,20.0,233.29411
65,22.06,233.41718
66,21.5,234.08559
67,20.12,233.90369
68,20.12,233.45607
69,18.94,233.45607
70,19.5,233.07407
71,20.37,233.25525
72,18.87,233.53706
73,18.5,233.05139
74,18.5,232.93176
75,18.56,232.93176
76,19.31,232.95119
77,19.56,233.19376
78,20.5,233.27467
79,22.31,233.57922
80,22.25,234.16689
81,21.44,234.14735
82,21.31,233.8842
83,20.06,233.84198
84,20.19,233.43661
85,19.06,233.47873
86,19.37,233.11287
87,20.25,233.21318
88,19.87,233.49817
89,19.0,233.37506
90,18.5,233.09346
91,18.94,232.93176
92,18.81,233.07407
93,18.5,233.03201
94,19.31,232.93176
95,18.69,233.19376
96,18.03,232.99321
97,17.56,232.77994
98,16.5,232.6282
99,17.06,232.28636
100,16.69,232.46687
101,17.0,232.3476
102,14.31,232.44754
103,14.31,231.58194
104,15.06,231.58194
105,15.190000000000001,231.82289
106,15.38,231.8647
107,15.0,231.92581
108,14.44,231.8036
109,14.059999999999999,231.62366
110,14.25,231.50168
111,14.000000000000002,231.56265
112,14.38,231.4824
113,14.059999999999999,231.6044
114,15.0,231.50168
115,14.689999999999998,231.8036
116,14.81,231.70398
117,14.81,231.74254
118,14.88,231.74254
119,14.88,231.76503
120,16.37,231.76503
121,17.06,232.24448
122,16.37,232.46687
123,16.56,232.24448
124,17.19,232.30571
125,16.56,232.50882
126,18.0,232.30571
127,17.19,232.77025
128,17.12,232.50882
129,16.81,232.48624
130,18.69,232.38626
131,19.5,232.99321
132,19.25,233.25525
133,20.5,233.17435
134,20.5,233.57922
135,19.94,233.57922
136,19.56,233.39772
137,21.69,233.27467
138,21.75,233.9654
139,21.62,233.98488
140,21.12,233.94264
141,20.62,233.78032
142,20.19,233.61813
143,21.12,233.47873
144,20.75,233.78032
145,20.75,233.66028
146,19.12,233.66028
147,19.69,233.13228
148,19.12,233.31677
149,19.5,233.13228
150,20.06,233.25525
151,19.0,233.43661
152,18.31,233.09346
153,18.87,232.87039
154,18.81,233.05139
155,18.81,233.03201
156,19.5,233.03201
157,19.37,233.25525
158,18.25,233.21318
159,18.75,232.85098
160,19.25,233.0126
161,20.37,233.17435
162,21.5,233.53706
163,21.25,233.90369
164,20.81,233.82253
165,20.25,233.67975
166,18.62,233.49817
167,19.56,232.97058
168,20.44,233.27467
169,19.69,233.55975
170,19.62,233.31677
171,20.56,233.29411
172,19.69,233.59866
173,20.12,233.31677
174,21.62,233.45607
175,23.0,233.94264
176,21.78,234.39131
177,22.87,233.99461
178,22.17,234.34901
179,22.529999999999998,234.12135
180,22.07,234.2384
181,21.589999999999996,234.08885
182,20.24,233.9329
183,19.5,233.49495
184,20.87,233.25525
185,20.59,233.69922
186,20.54,233.6084
187,22.04,233.5922
188,21.8,234.0791
189,22.420000000000005,234.00111
190,21.44,234.20264
191,20.4,233.8842
192,22.789999999999996,233.5468
193,25.72,234.32297
194,25.04,235.27841
195,24.25,235.05629
196,24.03,234.79852
197,24.72,234.7268
198,24.690000000000005,234.95184
199,26.2,234.94205
200,25.49,235.43533
201,25.930000000000003,235.20328
202,26.59,235.34705
203,24.96,235.56291
204,25.75,235.03018
205,24.96,235.28822
206,24.57,235.03018
207,23.98,234.90291
208,23.0,234.7105
209,22.85,234.39131
210,23.29,234.3425
211,23.18,234.48572
212,24.1,234.4499
213,23.550000000000004,234.74962
214,23.530000000000005,234.5704
215,23.56,234.56387
216,23.5,234.57364
217,23.23,234.55412
218,23.2,234.46617
219,22.76,234.4564
220,21.47,234.31322
221,19.78,233.89395
222,19.95,233.34592
223,20.89,233.40099
224,20.66,233.7057
225,20.94,233.63109
226,20.73,233.72192
227,21.66,233.6538
228,21.32,233.95566
229,20.04,233.84525
230,20.31,233.43015
231,20.47,233.51764
232,19.88,233.56949
233,20.44,233.3783
234,20.33,233.55975
235,20.19,233.52411
236,21.67,233.47873
237,22.49,233.95888
238,22.26,234.2254
239,23.989999999999995,234.15062
240,23.749999999999996,234.71376
241,23.34,234.63554
242,23.54,234.502
243,23.25,234.56714
244,23.899999999999995,234.4727
245,23.839999999999996,234.68442
246,23.19,234.66487
247,22.03,234.45316
248,22.699999999999996,234.07584
249,21.14,234.2937
250,22.54,233.7868
251,24.36,234.24167
252,24.849999999999998,234.83441
253,23.96,234.9943
254,25.1,234.704
255,20.79,235.07588
256,19.96,233.67326
257,19.98,233.40422
258,19.54,233.4107
259,19.09,233.2682
260,18.47,233.12256
261,18.59,232.9221
262,18.96,232.96088
263,18.93,233.08054
264,18.79,233.07082
265,19.06,233.02553
266,19.82,233.11287
267,19.5,233.35886
268,19.13,233.25525
269,19.25,233.13551
270,18.9,233.17435
271,19.05,233.06113
272,19.02,233.10962
273,19.09,233.09993
274,18.73,233.12256
275,18.44,233.00613
276,18.65,232.91238
277,18.07,232.98027
278,18.12,232.79286
279,17.92,232.809
280,18.21,232.7444
281,17.81,232.83807
282,18.57,232.7089
283,18.92,232.95442
284,18.4,233.06758
285,17.83,232.89948
286,17.83,232.71535
287,18.55,232.71535
288,18.25,232.94795
289,18.55,232.85098
290,17.72,232.94795
291,17.28,232.67982
292,17.37,232.53784
293,16.99,232.56688
294,16.28,232.4443
295,17.02,232.21548
296,15.680000000000001,232.45398
297,15.729999999999999,232.02231
298,16.45,232.0384
299,15.54,232.27025
300,15.149999999999999,231.97726
301,15.51,231.85184
302,15.51,231.9676
303,15.54,231.9676
304,15.050000000000002,231.97726
305,14.98,231.81969
306,15.88,231.79718
307,16.14,232.08669
308,16.2,232.1704
309,16.0,232.18971
310,16.82,232.12532
311,17.74,232.38948
312,18.01,232.68628
313,17.99,232.77345
314,18.01,232.76701
315,16.99,232.77345
316,18.0,232.4443
317,18.3,232.77025
318,19.02,232.86717
319,18.14,233.09993
320,18.95,232.81546
321,19.19,233.07729
322,18.67,233.15492
323,17.63,232.98674
324,17.6,232.65079
325,17.56,232.6411
326,18.59,232.6282
327,18.57,232.96088
328,19.07,232.95442
329,19.57,233.11612
330,19.59,233.27792
331,18.71,233.28438
332,18.71,232.99966
333,18.75,232.99966
334,19.37,233.0126
335,19.61,233.21318
336,19.45,233.29088
337,18.97,233.23907
338,20.0,233.08376
339,19.53,233.41718
340,19.68,233.26495
341,19.84,233.31352
342,21.37,233.36534
343,21.0,233.86147
344,20.53,233.7414
345,20.42,233.58893
346,21.3,233.55328
347,21.05,233.83875
348,22.4,233.75761
349,23.76,234.19612
350,22.78,234.63881
351,22.54,234.31973
352,22.54,234.24167
353,21.78,234.24167
354,21.49,233.99461
355,21.0,233.90044
356,20.39,233.7414
357,20.62,233.54355
358,21.01,233.61813
359,21.62,233.74463
360,20.67,233.94264
361,21.0,233.63434
362,21.36,233.7414
363,21.49,233.85823
364,22.07,233.90044
365,22.43,234.08885
366,21.9,234.20589
367,23.3,234.03362
368,23.58,234.48897
369,23.689999999999998,234.58017
370,22.9,234.616
371,22.610000000000003,234.35876
372,21.649999999999995,234.26442
373,21.23,233.9524
374,21.05,233.81602
375,21.15,233.75761
376,21.699999999999996,233.79005
377,20.78,233.96863
378,22.480000000000004,233.67001
379,22.17,234.22215
380,21.82,234.12135
381,23.02,234.00763
382,23.21,234.39781
383,23.25,234.45967
384,23.27,234.4727
385,23.07,234.47919
386,24.09,234.41411
387,24.72,234.74637
388,24.41,234.95184
389,25.35,234.8507
390,25.45,235.15753
391,24.670000000000005,235.1902
392,24.3,234.93555
393,24.03,234.81482
394,24.98,234.7268
395,24.710000000000004,235.03671
396,25.01,234.94858
397,24.600000000000005,235.04651
398,23.899999999999995,234.91269
399,22.619999999999997,234.68442
400,23.13,234.26768
401,21.5,234.43362
402,22.740000000000002,233.90369
403,23.810000000000002,234.30672
404,23.669999999999998,234.6551
405,21.96,234.6095
406,21.699999999999996,234.0531
407,23.45,233.96863
408,24.29,234.53783
409,23.530000000000005,234.81158
410,24.07,234.56387
411,24.38,234.73984
412,24.66,234.84093
413,25.059999999999995,234.93225
414,24.72,235.06282
415,24.49,234.95184
416,24.43,234.8768
417,24.949999999999996,234.85725
418,24.74,235.02692
419,24.849999999999998,234.95837
420,24.92,234.9943
421,24.27,235.01712
422,24.09,234.80505
423,23.35,234.74637
424,23.46,234.50525
425,23.47,234.54108
426,23.669999999999998,234.54434
427,24.46,234.6095
428,24.07,234.86705
429,23.749999999999996,234.73984
430,24.900000000000002,234.63554
431,24.74,235.01059
432,24.56,234.95837
433,24.1,234.89964
434,24.66,234.74962
435,24.860000000000003,234.93225
436,25.059999999999995,234.99753
437,25.0,235.06282
438,25.74,235.04321
439,26.109999999999996,235.28496
440,25.41,235.40591
441,24.98,235.17711
442,24.53,235.03671
443,24.25,234.88986
444,23.769999999999996,234.79852
445,24.12,234.64206
446,23.01,234.75615
447,23.96,234.39458
448,24.27,234.704
449,23.98,234.80505
450,23.689999999999998,234.7105
451,23.510000000000005,234.616
452,22.650000000000002,234.55739
453,22.47,234.27744
454,24.37,234.21887
455,24.19,234.83766
456,23.32,234.77898
457,23.94,234.4955
458,25.61,234.69748
459,25.28,235.24248
460,25.21,235.13466
461,25.01,235.11182
462,24.74,235.04651
463,23.46,234.95837
464,24.32,234.54108
465,25.18,234.82135
466,24.15,235.102
467,23.98,234.76591
468,23.98,234.7105
469,24.2,234.7105
470,23.3,234.78223
471,22.91,234.48897
472,22.78,234.36203
473,22.719999999999995,234.31973
474,22.16,234.3002
475,21.4,234.11809
476,21.48,233.8712
477,20.46,233.8972
478,20.09,233.56624
479,19.54,233.44633
480,20.1,233.2682
481,20.54,233.44957
482,20.15,233.5922
483,17.12,233.46577
484,17.11,232.48624
485,16.85,232.48299
486,17.27,232.39915
487,17.14,232.5346
488,16.55,232.49269
489,17.06,232.30246
490,17.72,232.46687
491,17.06,232.67982
492,16.94,232.46687
493,17.55,232.42818
494,18.74,232.62495
495,18.01,233.00938
496,17.53,232.77345
497,17.32,232.6185
498,18.3,232.55074
499,17.5,232.86717
500,18.23,232.60883
501,17.86,232.84454
502,15.630000000000003,232.72504
503,14.99,232.00624
504,14.96,231.80038
505,14.92,231.79074
506,14.47,231.77791
507,15.200000000000001,231.63332
508,14.36,231.86792
509,14.34,231.59798
510,15.02,231.59157
511,15.43,231.81004
512,15.259999999999998,231.94188
513,14.8,231.8872
514,14.45,231.73932
515,13.990000000000002,231.62688
516,14.74,231.4792
517,15.03,231.72006
518,15.3,231.81326
519,15.0,231.90007
520,14.99,231.8036
521,14.590000000000002,231.80038
522,15.170000000000002,231.67184
523,15.61,231.85828
524,15.81,231.99979
525,15.98,232.06416
526,15.91,232.1189
527,16.12,232.09636
528,15.97,232.16397
529,15.729999999999999,232.11568
530,15.53,232.0384
531,14.85,231.97406
532,14.699999999999998,231.7554
533,14.699999999999998,231.70718
534,14.75,231.70718
535,14.049999999999999,231.72327
536,14.48,231.49844
537,14.18,231.63654
538,14.38,231.54019
539,14.37,231.6044
540,14.33,231.60118
541,14.29,231.58835
542,14.14,231.57552
543,14.17,231.52734
544,14.5,231.53697
545,14.8,231.64294
546,15.02,231.73932
547,14.580000000000002,231.81004
548,14.87,231.66864
549,14.85,231.76183
550,14.639999999999999,231.7554
551,14.93,231.68791
552,14.699999999999998,231.78113
553,14.72,231.70718
554,14.5,231.71364
555,14.51,231.64294
556,14.17,231.64616
557,14.3,231.53697
558,14.03,231.5787
559,13.77,231.49202
560,13.69,231.4086
561,13.599999999999998,231.38293
562,14.120000000000001,231.35406
563,14.51,231.52094
564,14.77,231.64616
565,15.160000000000002,231.72969
566,14.560000000000002,231.85504
567,14.110000000000001,231.66222
568,14.34,231.5177
569,14.560000000000002,231.59157
570,14.699999999999998,231.66222
571,14.88,231.70718
572,14.689999999999998,231.76503
573,15.42,231.70398
574,15.61,231.93867
575,15.44,231.99979
576,15.98,231.9451
577,16.07,232.1189
578,16.36,232.14786
579,16.89,232.24126
580,16.9,232.41208
581,17.22,232.41527
582,16.0,232.51848
583,15.84,232.12532
584,15.160000000000002,232.0738
585,15.640000000000002,231.85504
586,15.59,232.00946
587,16.3,231.99336
588,15.95,232.22194
589,15.650000000000002,232.1092
590,15.269999999999998,232.01266
591,15.53,231.89043
592,16.35,231.97406
593,16.01,232.23804
594,15.97,232.12852
595,15.41,232.11568
596,15.719999999999999,231.93546
597,15.5,232.03519
598,15.180000000000001,231.9644
599,15.160000000000002,231.8615
600,14.97,231.85504
601,14.63,231.79396
602,14.95,231.68471
603,14.75,231.78754
604,15.279999999999998,231.72327
605,15.49,231.89365
606,15.190000000000001,231.96118
607,14.79,231.8647
608,14.85,231.73611
609,15.08,231.7554
610,14.570000000000002,231.82935
611,14.2,231.66542
612,14.14,231.5466
613,14.49,231.52734
614,14.36,231.63974
615,14.4,231.59798
616,14.059999999999999,231.61082
617,14.069999999999999,231.50168
618,14.33,231.50487
619,14.8,231.58835
620,14.9,231.73932
621,14.9,231.77148
622,14.85,231.77148
623,14.550000000000002,231.7554
624,14.679999999999998,231.659
625,14.72,231.70078
626,14.63,231.71364
627,14.610000000000001,231.68471
628,14.43,231.67828
629,14.620000000000001,231.62048
630,14.099999999999998,231.6815
631,14.02,231.51451
632,13.88,231.48882
633,14.17,231.4439
634,13.8,231.53697
635,14.13,231.41823
636,14.580000000000002,231.52414
637,14.580000000000002,231.66864
638,14.32,231.66864
639,14.36,231.58514
640,14.659999999999998,231.59798
641,14.600000000000001,231.69435
642,14.45,231.67508
643,14.43,231.62688
644,14.15,231.62048
645,14.35,231.53055
646,14.35,231.59477
647,14.39,231.59477
648,14.54,231.60762
649,14.669999999999998,231.65579
650,15.269999999999998,231.69756
651,14.85,231.89043
652,14.77,231.7554
653,15.0,231.72969
654,14.74,231.8036
655,15.02,231.72006
656,14.5,231.81004
657,14.86,231.64294
658,15.01,231.7586
659,14.649999999999999,231.80684
660,14.560000000000002,231.69113
661,14.620000000000001,231.66222
662,14.560000000000002,231.6815
663,14.53,231.66222
664,14.37,231.65259
665,14.23,231.60118
666,14.22,231.55623
667,14.72,231.55302
668,14.78,231.71364
669,15.01,231.7329
670,15.0,231.80684
671,14.95,231.8036
672,14.91,231.78754
673,15.0,231.77467
674,14.37,231.8036
675,14.550000000000002,231.60118
676,14.41,231.659
677,14.49,231.61403
678,14.570000000000002,231.63974
679,14.14,231.66542
680,14.16,231.52734
681,14.600000000000001,231.53377
682,14.46,231.67508
683,14.41,231.63008
684,14.49,231.61403
685,14.45,231.63974
686,14.19,231.62688
687,14.37,231.5434
688,13.2,231.60118
689,13.579999999999998,231.22578
690,13.39,231.34766
691,13.24,231.28673
692,13.12,231.23862
693,13.14,231.20013
694,13.510000000000002,231.20657
695,13.579999999999998,231.3252
696,13.44,231.34766
697,13.35,231.30275
698,13.86,231.27388
699,14.059999999999999,231.43748
700,14.22,231.50168
701,14.36,231.55302
702,14.45,231.59798
703,16.09,231.62688
704,17.5,232.1543
705,17.65,232.60883
706,18.0,232.65724
707,18.3,232.77025
708,18.56,232.86717
709,18.67,232.95119
710,18.55,232.98674
711,18.73,232.94795
712,18.8,233.00613
