,Real,Predicted
0,77.3,77.340675
1,76.26,77.35296
2,77.07,76.64421
3,77.31999999999998,76.78009
4,77.3,77.05464
5,77.37,77.19501
6,77.06,77.28383
7,77.075,77.108635
8,76.92,77.01069
9,76.94,76.8795
10,76.90999999999998,76.84351
11,76.81,76.82731
12,76.81,76.77008
13,76.905,76.749855
14,76.88,76.80738
15,76.83,76.82569
16,76.93,76.80114
17,76.83,76.848114
18,76.77,76.80935
19,76.78,76.74963
20,76.68,76.7288
21,76.64,76.66297
22,76.665,76.61198
23,76.78,76.61107
24,76.41,76.690094
25,76.77,76.5022
26,76.58499999999998,76.633224
27,76.49,76.59129
28,76.505,76.510735
29,76.575,76.48264
30,76.77,76.51892
31,76.83,76.66293
32,76.8,76.769966
33,76.68,76.79131
34,76.63,76.71037
35,76.58499999999998,76.6306
36,76.34,76.566864
37,76.615,76.39304
38,76.62,76.49079
39,76.71,76.55632
40,76.69,76.64806
41,76.67,76.67513
42,76.74000000000001,76.6655
43,76.62,76.69628
44,76.65,76.63289
45,76.71,76.617775
46,76.62,76.65062
47,76.61,76.61359
48,76.52,76.58915
