,Real,Predicted
0,56.68999999999999,76.76983
1,52.18999999999999,76.732056
2,53.5,75.6396
3,51.44,74.59521
4,48.94,73.20349
5,53.5,71.4303
6,25.75,70.71146
7,24.25,65.01403
8,22.31,58.63515
9,23.620000000000005,52.32502
10,22.06,47.240784
11,22.19,43.184895
12,21.75,40.450623
13,20.87,38.823208
14,19.62,37.98319
15,20.0,37.584568
16,22.06,37.68799
17,21.5,38.469383
18,20.12,39.325043
19,20.12,39.895683
20,18.94,40.309948
21,19.5,40.336205
22,20.37,40.29996
23,18.87,40.34812
24,18.5,40.086372
25,18.5,39.697315
26,18.56,39.29924
27,19.31,38.954582
28,19.56,38.82707
29,20.5,38.847595
30,22.31,39.125206
31,22.25,39.81441
32,21.44,40.53702
33,21.31,41.041046
34,20.06,41.376373
35,20.19,41.32645
36,19.06,41.15109
37,19.37,40.6854
38,20.25,40.234238
39,19.87,39.9941
40,19.0,39.78112
41,18.5,39.47476
42,18.94,39.115753
43,18.81,38.88968
44,18.5,38.71905
45,19.31,38.55615
46,18.69,38.598835
47,18.03,38.588146
48,17.56,38.4645
49,16.5,38.24146
50,17.06,37.811356
51,16.69,37.487793
52,17.0,37.1582
53,14.31,36.954014
54,14.31,36.313496
55,15.06,35.67368
56,15.190000000000001,35.255856
57,15.38,35.001453
58,15.0,34.912804
59,14.44,34.855682
60,14.059999999999999,34.747334
61,14.25,34.5877
62,14.000000000000002,34.479004
63,14.38,34.35312
64,14.059999999999999,34.323677
65,15.0,34.269394
66,14.689999999999998,34.411545
67,14.81,34.53198
68,14.81,34.670742
69,14.88,34.79463
70,14.88,34.906677
71,16.37,34.9914
72,17.06,35.335297
73,16.37,35.82483
74,16.56,36.163948
75,17.19,36.45325
76,16.56,36.780647
77,18.0,36.922176
78,17.19,37.25179
79,17.12,37.396038
80,16.81,37.45127
81,18.69,37.386703
82,19.5,37.638943
83,19.25,38.079277
84,20.5,38.479534
85,20.5,39.066418
86,19.94,39.606815
87,19.56,39.942688
88,21.69,40.073063
89,21.75,40.49364
90,21.62,40.899433
91,21.12,41.217636
92,20.62,41.35333
93,20.19,41.294937
94,21.12,41.07205
95,20.75,40.982002
96,20.75,40.846973
97,19.12,40.7291
98,19.69,40.322296
99,19.12,40.01304
100,19.5,39.650776
101,20.06,39.4166
102,19.0,39.37415
103,18.31,39.21489
104,18.87,38.947777
105,18.81,38.803715
106,18.81,38.70237
107,19.5,38.646313
108,19.37,38.760113
109,18.25,38.89258
110,18.75,38.81475
111,19.25,38.791504
112,20.37,38.86371
113,21.5,39.167496
114,21.25,39.7179
115,20.81,40.227177
116,20.25,40.58167
117,18.62,40.71626
118,19.56,40.417416
119,20.44,40.178394
120,19.69,40.10438
121,19.62,39.93552
122,20.56,39.771122
123,19.69,39.817146
124,20.12,39.75471
125,21.62,39.780197
126,23.0,40.11657
127,21.78,40.76657
128,22.87,41.200356
129,22.17,41.7452
130,22.529999999999998,42.074802
131,22.07,42.346756
132,21.589999999999996,42.42989
133,20.24,42.321865
134,19.5,41.877743
135,20.87,41.22946
136,20.59,40.848915
137,20.54,40.53082
138,22.04,40.30656
139,21.8,40.46612
140,22.420000000000005,40.69549
141,21.44,41.08205
142,20.4,41.286175
143,22.789999999999996,41.22015
144,25.72,41.526833
145,25.04,42.42121
146,24.25,43.233635
147,24.03,43.794193
148,24.72,44.138577
149,24.690000000000005,44.448326
150,26.2,44.637375
151,25.49,45.019394
152,25.930000000000003,45.226807
153,26.59,45.43603
154,24.96,45.714634
155,25.75,45.638214
156,24.96,45.618763
157,24.57,45.424274
158,23.98,45.12566
159,23.0,44.71169
160,22.85,44.12946
161,23.29,43.55575
162,23.18,43.155
163,24.1,42.86211
164,23.550000000000004,42.86338
165,23.530000000000005,42.8799
166,23.56,42.943684
167,23.5,43.03735
168,23.23,43.12451
169,23.2,43.148552
170,22.76,43.142822
171,21.47,43.03485
172,19.78,42.657223
173,19.95,41.92184
174,20.89,41.205154
175,20.66,40.75645
176,20.94,40.42181
177,20.73,40.276176
178,21.66,40.21018
179,21.32,40.400692
180,20.04,40.597565
181,20.31,40.55312
182,20.47,40.50628
183,19.88,40.47202
184,20.44,40.32324
185,20.33,40.271446
186,20.19,40.22446
187,21.67,40.16806
188,22.49,40.409393
189,22.26,40.860138
190,23.989999999999995,41.285595
191,23.749999999999996,41.995197
192,23.34,42.622784
193,23.54,43.059185
194,23.25,43.386497
195,23.899999999999995,43.529636
196,23.839999999999996,43.682655
197,23.19,43.761364
198,22.03,43.66134
199,22.699999999999996,43.28286
200,21.14,42.98807
201,22.54,42.430527
202,24.36,42.16207
203,24.849999999999998,42.35984
204,23.96,42.794395
205,25.1,43.12224
206,20.79,43.629982
207,19.96,43.26937
208,19.98,42.55734
209,19.54,41.767494
210,19.09,40.93637
211,18.47,40.128128
212,18.59,39.349957
213,18.96,38.758762
214,18.93,38.42514
215,18.79,38.267178
216,19.06,38.21918
217,19.82,38.311684
218,19.5,38.610092
219,19.13,38.885376
220,19.25,39.064415
221,18.9,39.20901
222,19.05,39.235104
223,19.02,39.235687
224,19.09,39.201412
225,18.73,39.164234
226,18.44,39.05458
227,18.65,38.88275
228,18.07,38.75411
229,18.12,38.541054
230,17.92,38.35358
231,18.21,38.1631
232,17.81,38.065655
233,18.57,37.941338
234,18.92,37.992683
235,18.4,38.16144
236,17.83,38.259186
237,17.83,38.228466
238,18.55,38.16074
239,18.25,38.215446
240,18.55,38.229767
241,17.72,38.297535
242,17.28,38.20816
243,17.37,38.006058
244,16.99,37.805706
245,16.28,37.55034
246,17.02,37.18267
247,15.680000000000001,36.98431
248,15.729999999999999,36.604958
249,16.45,36.2674
250,15.54,36.133118
251,15.149999999999999,35.917152
252,15.51,35.669693
253,15.51,35.530903
254,15.54,35.45196
255,15.050000000000002,35.42772
256,14.98,35.345097
257,15.88,35.25837
258,16.14,35.358074
259,16.2,35.548008
260,16.0,35.76554
261,16.82,35.931076
262,17.74,36.21574
263,18.01,36.657303
264,17.99,37.128757
265,18.01,37.5375
266,16.99,37.860313
267,18.0,37.888103
268,18.3,37.992943
269,19.02,38.114613
270,18.14,38.34921
271,18.95,38.403965
272,19.19,38.559612
273,18.67,38.74582
274,17.63,38.810776
275,17.6,38.628
276,17.56,38.379814
277,18.59,38.11337
278,18.57,38.070164
279,19.07,38.095604
280,19.57,38.262325
281,19.59,38.559555
282,18.71,38.8714
283,18.71,38.983032
284,18.75,39.01757
285,19.37,39.00414
286,19.61,39.077522
287,19.45,39.19734
288,18.97,39.284023
289,20.0,39.258335
290,19.53,39.398445
291,19.68,39.4592
292,19.84,39.52662
293,21.37,39.609314
294,21.0,39.97553
295,20.53,40.292847
296,20.42,40.477917
297,21.3,40.568474
298,21.05,40.764153
299,22.4,40.888103
300,23.76,41.23103
301,22.78,41.834206
302,22.54,42.239887
303,22.54,42.49675
304,21.78,42.642384
305,21.49,42.549774
306,21.0,42.315186
307,20.39,41.943947
308,20.62,41.4491
309,21.01,41.026188
310,21.62,40.760452
311,20.67,40.7191
312,21.0,40.59987
313,21.36,40.58236
314,21.49,40.677155
315,22.07,40.83115
316,22.43,41.107166
317,21.9,41.453804
318,23.3,41.673717
319,23.58,42.09534
320,23.689999999999998,42.54246
321,22.9,42.95147
322,22.610000000000003,43.123783
323,21.649999999999995,43.12467
324,21.23,42.84909
325,21.05,42.41908
326,21.15,41.938232
327,21.699999999999996,41.51677
328,20.78,41.28539
329,22.480000000000004,40.987362
330,22.17,41.083317
331,21.82,41.233917
332,23.02,41.359184
333,23.21,41.711433
334,23.25,42.112328
335,23.27,42.489147
336,23.07,42.80433
337,24.09,42.999603
338,24.72,43.30484
339,24.41,43.687256
340,25.35,43.965034
341,25.45,44.34669
342,24.670000000000005,44.69593
343,24.3,44.82276
344,24.03,44.777256
345,24.98,44.600384
346,24.710000000000004,44.564064
347,25.01,44.498817
348,24.600000000000005,44.502922
349,23.899999999999995,44.449863
350,22.619999999999997,44.262688
351,23.13,43.81715
352,21.5,43.45462
353,22.740000000000002,42.8356
354,23.810000000000002,42.49137
355,23.669999999999998,42.480133
356,21.96,42.579742
357,21.699999999999996,42.420677
358,23.45,42.193546
359,24.29,42.306892
360,23.530000000000005,42.655888
361,24.07,42.905117
362,24.38,43.22211
363,24.66,43.5618
364,25.059999999999995,43.9045
365,24.72,44.26254
366,24.49,44.4896
367,24.43,44.584675
368,24.949999999999996,44.58739
369,24.74,44.634426
370,24.849999999999998,44.62391
371,24.92,44.61524
372,24.27,44.614155
373,24.09,44.487312
374,23.35,44.309483
375,23.46,43.990635
376,23.47,43.697327
377,23.669999999999998,43.45006
378,24.46,43.301765
379,24.07,43.374344
380,23.749999999999996,43.44651
381,24.900000000000002,43.478294
382,24.74,43.726814
383,24.56,43.966164
384,24.1,44.148033
385,24.66,44.194344
386,24.860000000000003,44.289696
387,25.059999999999995,44.40026
388,25.0,44.53068
389,25.74,44.631184
390,26.109999999999996,44.84789
391,25.41,45.128468
392,24.98,45.2526
393,24.53,45.23017
394,24.25,45.0601
395,23.769999999999996,44.79453
396,24.12,44.427673
397,23.01,44.1447
398,23.96,43.709724
399,24.27,43.499146
400,23.98,43.44776
401,23.689999999999998,43.42773
402,23.510000000000005,43.39744
403,22.650000000000002,43.351444
404,22.47,43.147797
405,24.37,42.89712
406,24.19,43.02733
407,23.32,43.208908
408,23.94,43.248566
409,25.61,43.37759
410,25.28,43.823734
411,25.21,44.229553
412,25.01,44.5719
413,24.74,44.79671
414,23.46,44.879505
415,24.32,44.631615
416,25.18,44.46287
417,24.15,44.466034
418,23.98,44.316353
419,23.98,44.13297
420,24.2,43.963
421,23.3,43.865402
422,22.91,43.63621
423,22.78,43.343468
424,22.719999999999995,43.049717
425,22.16,42.78963
426,21.4,42.479916
427,21.48,42.072124
428,20.46,41.724216
429,20.09,41.254295
430,19.54,40.769558
431,20.1,40.25629
432,20.54,39.937866
433,20.15,39.827652
434,17.12,39.75817
435,17.11,39.16844
436,16.85,38.541924
437,17.27,37.916122
438,17.14,37.468266
439,16.55,37.134247
440,17.06,36.81217
441,17.72,36.68135
442,17.06,36.779194
443,16.94,36.83604
444,17.55,36.88665
445,18.74,37.052856
446,18.01,37.45619
447,17.53,37.731964
448,17.32,37.85412
449,18.3,37.856
450,17.5,37.983467
451,18.23,37.94665
452,17.86,38.01016
453,15.630000000000003,38.003265
454,14.99,37.549282
455,14.96,36.90676
456,14.92,36.26186
457,14.47,35.68893
458,15.200000000000001,35.15027
459,14.36,34.876465
460,14.34,34.59146
461,15.02,34.39571
462,15.43,34.414616
463,15.259999999999998,34.598064
464,14.8,34.802277
465,14.45,34.919056
466,13.990000000000002,34.93131
467,14.74,34.81068
468,15.03,34.797215
469,15.3,34.852947
470,15.0,34.977306
471,14.99,35.052765
472,14.590000000000002,35.10824
473,15.170000000000002,35.066933
474,15.61,35.109932
475,15.81,35.24264
476,15.98,35.422848
477,15.91,35.62976
478,16.12,35.802242
479,15.97,35.97694
480,15.729999999999999,36.086227
481,15.53,36.104534
482,14.85,36.040737
483,14.699999999999998,35.81503
484,14.699999999999998,35.534485
485,14.75,35.26382
486,14.049999999999999,35.042786
487,14.48,34.742832
488,14.18,34.565453
489,14.38,34.398865
490,14.37,34.321934
491,14.33,34.295723
492,14.29,34.299046
493,14.14,34.31651
494,14.17,34.31494
495,14.5,34.31814
496,14.8,34.38509
497,15.02,34.517784
498,14.580000000000002,34.69663
499,14.87,34.78187
500,14.85,34.88522
501,14.639999999999999,34.96097
502,14.93,34.97031
503,14.699999999999998,35.007114
504,14.72,34.990417
505,14.5,34.962578
506,14.51,34.886787
507,14.17,34.8079
508,14.3,34.67024
509,14.03,34.562435
510,13.77,34.425175
511,13.69,34.256355
512,13.599999999999998,34.09214
513,14.120000000000001,33.939835
514,14.51,33.921295
515,14.77,34.02784
516,15.160000000000002,34.223717
517,14.560000000000002,34.509525
518,14.110000000000001,34.67318
519,14.34,34.696068
520,14.560000000000002,34.70227
521,14.699999999999998,34.720833
522,14.88,34.755283
523,14.689999999999998,34.820114
524,15.42,34.846546
525,15.61,35.000427
526,15.44,35.199203
527,15.98,35.355984
528,16.07,35.583595
529,16.36,35.805153
530,16.89,36.04489
531,16.9,36.347115
532,17.22,36.614326
533,16.0,36.8872
534,15.84,36.869892
535,15.160000000000002,36.728184
536,15.640000000000002,36.40265
537,15.59,36.14197
538,16.3,35.909122
539,15.95,35.86501
540,15.650000000000002,35.828163
541,15.269999999999998,35.770634
542,15.53,35.656406
543,16.35,35.598354
544,16.01,35.722183
545,15.97,35.8211
546,15.41,35.910618
547,15.719999999999999,35.877636
548,15.5,35.871277
549,15.180000000000001,35.81612
550,15.160000000000002,35.691055
551,14.97,35.556293
552,14.63,35.39639
553,14.95,35.188766
554,14.75,35.063366
555,15.279999999999998,34.94382
556,15.49,34.960823
557,15.190000000000001,35.064793
558,14.79,35.13913
559,14.85,35.13089
560,15.08,35.111572
561,14.570000000000002,35.12655
562,14.2,35.04574
563,14.14,34.88014
564,14.49,34.6959
565,14.36,34.594013
566,14.4,34.506477
567,14.059999999999999,34.457176
568,14.069999999999999,34.37029
569,14.33,34.297623
570,14.8,34.29225
571,14.9,34.4022
572,14.9,34.55729
573,14.85,34.715446
574,14.550000000000002,34.846397
575,14.679999999999998,34.889122
576,14.72,34.916748
577,14.63,34.928383
578,14.610000000000001,34.907616
579,14.43,34.87135
580,14.620000000000001,34.796173
581,14.099999999999998,34.755432
582,14.02,34.62716
583,13.88,34.48225
584,14.17,34.32312
585,13.8,34.241024
586,14.13,34.12567
587,14.580000000000002,34.095287
588,14.580000000000002,34.1855
589,14.32,34.30913
590,14.36,34.389492
591,14.659999999999998,34.459312
592,14.600000000000001,34.568035
593,14.45,34.65392
594,14.43,34.690063
595,14.15,34.696728
596,14.35,34.63059
597,14.35,34.585052
598,14.39,34.543034
599,14.54,34.516422
600,14.669999999999998,34.52919
601,15.269999999999998,34.57984
602,14.85,34.755085
603,14.77,34.86313
604,15.0,34.93124
605,14.74,35.01503
606,15.02,35.030632
607,14.5,35.07386
608,14.86,35.007706
609,15.01,34.987904
610,14.649999999999999,35.001812
611,14.560000000000002,34.95537
612,14.620000000000001,34.885784
613,14.560000000000002,34.827934
614,14.53,34.768684
615,14.37,34.71476
616,14.23,34.642414
617,14.22,34.55227
618,14.72,34.470318
619,14.78,34.501015
620,15.01,34.574745
621,15.0,34.70777
622,14.95,34.843636
623,14.91,34.955826
624,15.0,35.03466
625,14.37,35.10217
626,14.550000000000002,35.025253
627,14.41,34.946495
628,14.49,34.834873
629,14.570000000000002,34.741875
630,14.14,34.681843
631,14.16,34.56188
632,14.600000000000001,34.454582
633,14.46,34.45201
634,14.41,34.457397
635,14.49,34.46885
636,14.45,34.502075
637,14.19,34.53145
638,14.37,34.507523
639,13.2,34.506275
640,13.579999999999998,34.28003
641,13.39,34.09784
642,13.24,33.9001
643,13.12,33.702415
644,13.14,33.51752
645,13.510000000000002,33.37685
646,13.579999999999998,33.3523
647,13.44,33.391773
648,13.35,33.43616
649,13.86,33.471672
650,14.059999999999999,33.601994
651,14.22,33.777348
652,14.36,33.97617
653,14.45,34.180603
654,16.09,34.369995
655,17.5,34.835907
656,17.65,35.571415
657,18.0,36.31433
658,18.3,37.027824
659,18.56,37.66512
660,18.67,38.201015
661,18.55,38.60565
662,18.73,38.84298
663,18.8,38.985855
664,18.1,39.04928
665,17.79,38.91287
666,17.85,38.65737
667,18.24,38.391174
668,18.32,38.222057
669,18.88,38.12361
670,18.28,38.186756
671,18.1,38.189518
672,17.95,38.16477
673,17.45,38.109734
674,17.31,37.956448
675,17.6,37.76913
676,17.64,37.6491
677,17.15,37.573273
678,16.79,37.438313
679,17.18,37.24971
680,17.45,37.151974
681,17.77,37.147537
682,17.42,37.246
683,18.27,37.30764
684,18.19,37.528957
685,19.12,37.7461
686,19.14,38.120094
687,19.2,38.48255
688,19.06,38.803307
689,18.78,39.02534
690,19.09,39.11179
691,19.29,39.18011
692,18.73,39.242588
693,19.06,39.17024
694,19.09,39.125965
695,19.27,39.085823
696,19.13,39.08633
697,19.87,39.072838
698,20.4,39.206146
699,19.89,39.464695
700,19.58,39.634544
701,19.85,39.70538
702,19.9,39.778343
703,19.61,39.832207
704,19.87,39.807137
705,20.9,39.806313
706,20.859,40.000546
707,20.61,40.211517
708,20.8,40.363434
709,20.79,40.514095
710,20.51,40.62858
711,21.540000000000003,40.65194
712,20.99,40.833633
713,20.72,40.910587
714,20.28,40.900608
715,21.08,40.770515
716,20.73,40.76636
717,21.21,40.715626
718,20.38,40.76125
719,19.63,40.666893
720,19.93,40.41204
721,19.64,40.198948
722,19.66,39.959682
723,19.7,39.759346
724,20.18,39.615425
725,19.97,39.616085
726,19.71,39.63383
727,20.34,39.626904
728,20.32,39.746292
729,21.01,39.880787
730,21.679999999999996,40.143776
731,20.88,40.534664
732,20.86,40.75488
733,21.05,40.894413
734,21.48,41.001324
735,22.19,41.141884
736,22.610000000000003,41.391365
737,22.85,41.70832
738,22.95,42.045124
739,22.829999999999995,42.354702
740,22.500000000000004,42.577564
741,22.740000000000002,42.661644
742,22.37,42.71637
743,22.18,42.654816
744,22.56,42.51696
745,23.1,42.434464
746,22.21,42.473843
747,22.36,42.37496
748,22.12,42.29638
749,22.88,42.182453
750,22.58,42.22523
751,22.08,42.248642
752,22.43,42.18359
753,21.32,42.17493
754,20.43,41.962063
755,20.69,41.55547
756,21.3,41.190414
757,20.72,40.994793
758,20.79,40.775257
759,20.57,40.626205
760,21.69,40.493523
761,22.29,40.62146
762,23.22,40.933678
763,23.06,41.462284
764,23.45,41.96492
765,23.680000000000003,42.47669
766,24.35,42.945072
767,24.55,43.4389
768,24.819999999999997,43.87513
769,23.25,44.256912
770,22.749999999999996,44.231125
771,23.22,43.966415
772,23.18,43.70659
773,22.76,43.437836
774,22.99,43.1192
775,22.599999999999998,42.885017
776,22.599999999999998,42.642223
777,23.720000000000002,42.45456
778,23.689999999999998,42.543053
779,23.09,42.709393
780,22.89,42.79334
781,23.15,42.820618
782,22.91,42.87249
783,23.03,42.86699
784,23.12,42.866364
785,22.500000000000004,42.876915
786,21.9,42.76652
787,21.540000000000003,42.522453
788,22.33,42.19717
789,22.420000000000005,42.039005
790,21.46,41.965992
791,21.13,41.765816
792,20.41,41.517624
793,20.4199,41.154118
794,20.375,40.816944
795,20.28,40.52852
796,21.15,40.29263
797,20.68,40.295746
798,20.72,40.29687
799,20.91,40.341038
800,21.71,40.441086
801,21.540000000000003,40.704983
802,21.03,40.948708
803,21.15,41.063816
804,20.85,41.142597
805,21.05,41.119747
806,20.45,41.09475
807,20.38,40.93959
808,21.21,40.75121
809,20.89,40.729958
810,20.17,40.69481
811,20.12,40.541172
812,19.88,40.374767
813,20.04,40.177402
814,19.7,40.033436
815,19.85,39.86395
816,19.81,39.75403
817,20.41,39.677162
818,20.78,39.75057
819,21.15,39.93852
820,21.28,40.221622
821,21.37,40.528866
822,21.28,40.82141
823,22.17,41.04368
824,22.09,41.371326
825,22.590000000000003,41.643074
826,23.36,41.948097
827,23.0,42.34771
828,23.729999999999997,42.631172
829,24.12,42.973404
830,24.2,43.330875
831,22.85,43.640205
832,22.719999999999995,43.61278
833,22.73,43.447666
834,22.610000000000003,43.223988
835,22.18,42.9657
836,22.56,42.64325
837,23.01,42.425938
838,23.07,42.36236
839,22.520000000000003,42.384937
840,22.679999999999996,42.350857
841,22.56,42.357597
842,22.32,42.354237
843,22.26,42.30742
844,21.79,42.244675
845,22.420000000000005,42.092648
846,22.71,42.058956
847,22.667,42.114033
848,22.98,42.190155
849,23.799999999999997,42.334877
850,23.729999999999997,42.641155
851,23.0,42.938656
852,23.16,43.05822
853,23.26,43.133682
854,22.47,43.177128
855,22.4,43.03349
856,22.19,42.83268
857,22.36,42.583515
858,22.809999999999995,42.382675
859,23.04,42.312374
860,23.92,42.346424
861,24.02,42.597824
862,23.810000000000002,42.912304
863,23.92,43.18157
864,25.16,43.425438
865,26.74,43.85374
866,25.999999999999996,44.55999
867,27.1,45.096336
868,27.68,45.726788
869,27.149999999999995,46.367794
870,27.56,46.78949
871,26.45,47.136387
872,25.820000000000004,47.144283
873,26.19,46.893414
874,25.670000000000005,46.62416
875,25.860000000000003,46.24682
876,25.860000000000003,45.92341
877,25.29,45.66124
878,25.5,45.362125
879,26.870000000000005,45.1612
880,27.040000000000003,45.2987
881,27.91,45.568283
882,27.920000000000005,46.047813
883,27.040000000000003,46.54051
