,Real,Predicted
0,48.5,58.324947
1,51.44,58.96047
2,50.0,60.80888
3,50.5,61.32414
4,51.69,61.6326
5,54.31,62.23221
6,56.11000000000001,63.760178
7,56.81,65.51849
8,58.06000000000001,66.788155
9,59.19,67.90547
10,59.5,68.90427
11,60.93999999999999,69.47578
12,63.44,70.311516
13,62.44,71.886185
14,58.440000000000005,72.31758
15,62.0,70.473625
16,58.88,70.729294
17,58.440000000000005,69.64868
18,57.75,68.74216
19,58.0,67.96197
20,56.86,67.72238
21,55.23,67.19083
22,60.66,66.1568
23,59.94,68.08077
24,61.04999999999999,69.219025
25,56.68999999999999,70.29955
26,52.18999999999999,68.775764
27,53.5,65.43045
28,51.44,63.911858
29,48.94,62.43089
30,53.5,60.645004
31,25.75,61.883606
32,24.25,50.195023
33,22.31,41.540787
34,23.620000000000005,36.338257
35,22.06,35.109848
36,22.19,34.829205
37,21.75,35.29932
38,20.87,35.65684
39,19.62,35.51577
40,20.0,34.8088
41,22.06,34.52259
42,21.5,35.393784
43,20.12,35.81595
44,20.12,35.390896
45,18.94,35.029808
46,19.5,34.278664
47,20.37,34.097664
48,18.87,34.50764
49,18.5,34.166603
50,18.5,33.73869
51,18.56,33.486343
52,19.31,33.41532
53,19.56,33.77487
54,20.5,34.16666
55,22.31,34.832092
56,22.25,36.05804
57,21.44,36.75259
58,21.31,36.649494
59,20.06,36.35798
60,20.19,35.540596
61,19.06,35.071484
62,19.37,34.348225
63,20.25,34.103725
64,19.87,34.475445
65,19.0,34.629013
66,18.5,34.306904
67,18.94,33.826694
68,18.81,33.735744
69,18.5,33.688927
70,19.31,33.55244
71,18.69,33.854004
72,18.03,33.797142
73,17.56,33.422523
74,16.5,32.94757
75,17.06,32.18405
76,16.69,32.005253
77,17.0,31.842585
78,14.31,31.94501
79,14.31,30.816458
80,15.06,30.05215
81,15.190000000000001,30.02957
82,15.38,30.229326
83,15.0,30.510677
84,14.44,30.519888
85,14.059999999999999,30.228178
86,14.25,29.840279
87,14.000000000000002,29.69953
88,14.38,29.553452
89,14.059999999999999,29.672539
90,15.0,29.640491
91,14.689999999999998,30.050432
92,14.81,30.189405
93,14.81,30.287329
94,14.88,30.317646
95,14.88,30.345858
96,16.37,30.353172
97,17.06,31.039705
98,16.37,31.822186
99,16.56,31.943336
100,17.19,31.97757
101,16.56,32.22844
102,18.0,32.081467
103,17.19,32.605476
104,17.12,32.59121
105,16.81,32.481213
106,18.69,32.24015
107,19.5,32.95187
108,19.25,33.843597
109,20.5,34.250698
110,20.5,34.95684
111,19.94,35.329666
112,19.56,35.19295
113,21.69,34.82884
114,21.75,35.551674
115,21.62,36.11332
116,21.12,36.35324
117,20.62,36.179985
118,20.19,35.761395
119,21.12,35.27621
120,20.75,35.431244
121,20.75,35.44787
122,19.12,35.466278
123,19.69,34.72323
124,19.12,34.478134
125,19.5,34.144295
126,20.06,34.15941
127,19.0,34.49525
128,18.31,34.253845
129,18.87,33.73295
130,18.81,33.656647
131,18.81,33.65321
132,19.5,33.6884
133,19.37,34.045124
134,18.25,34.22762
135,18.75,33.786823
136,19.25,33.678455
137,20.37,33.881126
138,21.5,34.568153
139,21.25,35.542103
140,20.81,35.991444
141,20.25,35.93004
142,18.62,35.51286
143,19.56,34.443993
144,20.44,34.198067
145,19.69,34.596012
146,19.62,34.607105
147,20.56,34.5587
148,19.69,34.949257
149,20.12,34.813915
150,21.62,34.86956
151,23.0,35.60093
152,21.78,36.729168
153,22.87,36.83131
154,22.17,37.2203
155,22.529999999999998,37.08233
156,22.07,37.077446
157,21.589999999999996,36.852734
158,20.24,36.47604
159,19.5,35.62429
160,20.87,34.762897
161,20.59,34.944485
162,20.54,35.09809
163,22.04,35.209877
164,21.8,35.96826
165,22.420000000000005,36.352493
166,21.44,36.79274
167,20.4,36.549484
168,22.789999999999996,35.814564
169,25.72,36.42362
170,25.04,38.29303
171,24.25,39.202274
172,24.03,39.18873
173,24.72,38.863235
174,24.690000000000005,38.889557
175,26.2,38.91299
176,25.49,39.631634
177,25.930000000000003,39.788124
178,26.59,40.000317
179,24.96,40.39349
180,25.75,39.856922
181,24.96,39.788273
182,24.57,39.42195
183,23.98,39.0175
184,23.0,38.52595
185,22.85,37.810955
186,23.29,37.34561
187,23.18,37.35846
188,24.1,37.420906
189,23.550000000000004,37.92302
190,23.530000000000005,38.011974
191,23.56,37.997215
192,23.5,37.966393
193,23.23,37.908623
194,23.2,37.746555
195,22.76,37.632023
196,21.47,37.376118
197,19.78,36.630062
198,19.95,35.384518
199,20.89,34.7317
200,20.66,34.928722
201,20.94,35.114727
202,20.73,35.399174
203,21.66,35.479595
204,21.32,35.92153
205,20.04,36.039352
206,20.31,35.46119
207,20.47,35.155903
208,19.88,35.08763
209,20.44,34.833134
210,20.33,34.95161
211,20.19,35.026318
212,21.67,35.012653
213,22.49,35.678276
214,22.26,36.508434
215,23.989999999999995,36.877422
216,23.749999999999996,37.787647
217,23.34,38.196735
218,23.54,38.130672
219,23.25,38.070633
220,23.899999999999995,37.867596
221,23.839999999999996,38.029293
222,23.19,38.137505
223,22.03,37.896984
224,22.699999999999996,37.176563
225,21.14,37.02121
226,22.54,36.29699
227,24.36,36.50892
228,24.849999999999998,37.609417
229,23.96,38.594566
230,25.1,38.70769
231,20.79,39.130028
232,19.96,37.34363
233,19.98,35.6649
234,19.54,34.743767
235,19.09,34.212147
236,18.47,33.868484
237,18.59,33.495686
238,18.96,33.393303
239,18.93,33.576595
240,18.79,33.72925
241,19.06,33.759045
242,19.82,33.881584
243,19.5,34.30599
244,19.13,34.428215
245,19.25,34.279224
246,18.9,34.197445
247,19.05,33.98875
248,19.02,33.9317
249,19.09,33.912903
250,18.73,33.9525
251,18.44,33.822456
252,18.65,33.598206
253,18.07,33.559643
254,18.12,33.300903
255,17.92,33.165985
256,18.21,33.02223
257,17.81,33.090687
258,18.57,32.98241
259,18.92,33.261913
260,18.4,33.628498
261,17.83,33.605545
262,17.83,33.266834
263,18.55,33.01928
264,18.25,33.22359
265,18.55,33.270973
266,17.72,33.4316
267,17.28,33.146637
268,17.37,32.72482
269,16.99,32.50891
270,16.28,32.252926
271,17.02,31.80272
272,15.680000000000001,31.890812
273,15.729999999999999,31.408579
274,16.45,31.119585
275,15.54,31.32485
276,15.149999999999999,31.106321
277,15.51,30.77261
278,15.51,30.73931
279,15.54,30.770962
280,15.050000000000002,30.830559
281,14.98,30.649221
282,15.88,30.487938
283,16.14,30.81694
284,16.2,31.19086
285,16.0,31.440498
286,16.82,31.45713
287,17.74,31.793808
288,18.01,32.4277
289,17.99,32.932487
290,18.01,33.164825
291,16.99,33.229664
292,18.0,32.735744
293,18.3,32.835846
294,19.02,33.09709
295,18.14,33.613472
296,18.95,33.52364
297,19.19,33.756054
298,18.67,34.007374
299,17.63,33.90053
300,17.6,33.300064
301,17.56,32.87543
302,18.59,32.64669
303,18.57,33.05103
304,19.07,33.37511
305,19.57,33.792545
306,19.59,34.25135
307,18.71,34.49701
308,18.71,34.169735
309,18.75,33.88469
310,19.37,33.731476
311,19.61,33.960266
312,19.45,34.263138
313,18.97,34.37682
314,20.0,34.184776
315,19.53,34.4987
316,19.68,34.508648
317,19.84,34.548244
318,21.37,34.634617
319,21.0,35.390755
320,20.53,35.71794
321,20.42,35.616905
322,21.3,35.416424
323,21.05,35.67268
324,22.4,35.752857
325,23.76,36.40553
326,22.78,37.457596
327,22.54,37.62414
328,22.54,37.452747
329,21.78,37.253094
330,21.49,36.760036
331,21.0,36.315727
332,20.39,35.860886
333,20.62,35.353657
334,21.01,35.204018
335,21.62,35.379696
336,20.67,35.833828
337,21.0,35.696545
338,21.36,35.692802
339,21.49,35.85263
340,22.07,36.02115
341,22.43,36.3832
342,21.9,36.76644
343,23.3,36.72363
344,23.58,37.27178
345,23.689999999999998,37.75502
346,22.9,38.055454
347,22.610000000000003,37.802067
348,21.649999999999995,37.424026
349,21.23,36.73193
350,21.05,36.121258
351,21.15,35.7336
352,21.699999999999996,35.635483
353,20.78,35.915146
354,22.480000000000004,35.723152
355,22.17,36.35642
356,21.82,36.659645
357,23.02,36.62565
358,23.21,37.09025
359,23.25,37.475315
360,23.27,37.68823
361,23.07,37.767883
362,24.09,37.67575
363,24.72,38.05657
364,24.41,38.609337
365,25.35,38.7915
366,25.45,39.258987
367,24.670000000000005,39.566074
368,24.3,39.331413
369,24.03,38.931015
370,24.98,38.540833
371,24.710000000000004,38.771114
372,25.01,38.873047
373,24.600000000000005,39.074055
374,23.899999999999995,39.00312
375,22.619999999999997,38.597137
376,23.13,37.726093
377,21.5,37.423485
378,22.740000000000002,36.597816
379,23.810000000000002,36.697796
380,23.669999999999998,37.40003
381,21.96,37.846977
382,21.699999999999996,37.276974
383,23.45,36.68125
384,24.29,37.132217
385,23.530000000000005,37.92393
386,24.07,38.084488
387,24.38,38.32927
388,24.66,38.57798
389,25.059999999999995,38.82375
390,24.72,39.12513
391,24.49,39.12257
392,24.43,38.957283
393,24.949999999999996,38.79784
394,24.74,38.945652
395,24.849999999999998,38.97517
396,24.92,39.035168
397,24.27,39.09967
398,24.09,38.83095
399,23.35,38.552032
400,23.46,38.05085
401,23.47,37.80907
402,23.669999999999998,37.732407
403,24.46,37.833534
404,24.07,38.29861
405,23.749999999999996,38.43058
406,24.900000000000002,38.308804
407,24.74,38.71876
408,24.56,38.92599
409,24.1,38.930695
410,24.66,38.675224
411,24.860000000000003,38.74493
412,25.059999999999995,38.913754
413,25.0,39.1221
414,25.74,39.213486
415,26.109999999999996,39.582363
416,25.41,39.97926
417,24.98,39.86679
418,24.53,39.518192
419,24.25,39.06268
420,23.769999999999996,38.666836
421,24.12,38.251495
422,23.01,38.210094
423,23.96,37.750046
424,24.27,37.91067
425,23.98,38.23506
426,23.689999999999998,38.32457
427,23.510000000000005,38.208702
428,22.650000000000002,38.02003
429,22.47,37.500652
430,24.37,37.092907
431,24.19,37.77492
432,23.32,38.237198
433,23.94,38.086636
434,25.61,38.18782
