,Real,Predicted
0,56.68999999999999,55.218822
1,52.18999999999999,55.01554
2,53.5,53.49793
3,51.44,52.210014
4,48.94,50.517754
5,53.5,48.371525
6,25.75,47.677826
7,24.25,40.251377
8,22.31,32.42674
9,23.620000000000005,24.926458
10,22.06,19.073326
11,22.19,14.395194
12,21.75,11.247916
13,20.87,9.326398
14,19.62,8.245028
15,20.0,7.6129947
16,22.06,7.590778
17,21.5,8.442638
18,20.12,9.350422
19,20.12,9.892858
20,18.94,10.300401
21,19.5,10.260485
22,20.37,10.220948
23,18.87,10.337627
24,18.5,10.042442
25,18.5,9.604612
26,18.56,9.171034
27,19.31,8.805286
28,19.56,8.712671
29,20.5,8.77966
30,22.31,9.155326
31,22.25,10.040204
32,21.44,10.912013
33,21.31,11.472375
34,20.06,11.833523
35,20.19,11.715395
36,19.06,11.488647
37,19.37,10.908307
38,20.25,10.38662
39,19.87,10.153065
40,19.0,9.925885
41,18.5,9.552418
42,18.94,9.10734
43,18.81,8.843806
44,18.5,8.639604
45,19.31,8.432988
46,18.69,8.497042
47,18.03,8.4673815
48,17.56,8.286176
49,16.5,7.9878182
50,17.06,7.4311423
51,16.69,7.047151
52,17.0,6.653211
53,14.31,6.423907
54,14.31,5.592815
55,15.06,4.801886
56,15.190000000000001,4.3221073
57,15.38,4.0381227
58,15.0,3.946514
59,14.44,3.868385
60,14.059999999999999,3.7099407
61,14.25,3.488305
62,14.000000000000002,3.3465235
63,14.38,3.1832948
64,14.059999999999999,3.1533573
65,15.0,3.0825589
66,14.689999999999998,3.276074
67,14.81,3.421172
68,14.81,3.5872855
69,14.88,3.7328866
70,14.88,3.8661058
71,16.37,3.9667802
72,17.06,4.42041
73,16.37,5.043839
74,16.56,5.4408383
75,17.19,5.781022
76,16.56,6.184962
77,18.0,6.3417325
78,17.19,6.7715645
79,17.12,6.940306
80,16.81,7.00321
81,18.69,6.919763
82,19.5,7.276774
83,19.25,7.8544855
84,20.5,8.343535
85,20.5,9.075092
86,19.94,9.724547
87,19.56,10.10089
88,21.69,10.228556
89,21.75,10.779471
90,21.62,11.29121
91,21.12,11.677655
92,20.62,11.826551
93,20.19,11.73793
94,21.12,11.457057
95,20.75,11.378877
96,20.75,11.229908
97,19.12,11.099174
98,19.69,10.57455
99,19.12,10.206554
100,19.5,9.76431
101,20.06,9.494185
102,19.0,9.464894
103,18.31,9.250918
104,18.87,8.895437
105,18.81,8.720227
106,18.81,8.59594
107,19.5,8.525665
108,19.37,8.677056
109,18.25,8.834628
110,18.75,8.703811
111,19.25,8.669859
112,20.37,8.769291
113,21.5,9.170551
114,21.25,9.874306
115,20.81,10.487448
116,20.25,10.888646
117,18.62,11.016034
118,19.56,10.598431
119,20.44,10.321673
120,19.69,10.2786045
121,19.62,10.087996
122,20.56,9.9002905
123,19.69,9.98957
124,20.12,9.906102
125,21.62,9.940444
126,23.0,10.382709
127,21.78,11.208667
128,22.87,11.6999445
129,22.17,12.352459
130,22.529999999999998,12.717046
131,22.07,13.032477
132,21.589999999999996,13.115493
133,20.24,12.97097
134,19.5,12.406194
135,20.87,11.611272
136,20.59,11.206367
137,20.54,10.858113
138,22.04,10.609652
139,21.8,10.850886
140,22.420000000000005,11.133197
141,21.44,11.600338
142,20.4,11.802446
143,22.789999999999996,11.66163
144,25.72,12.062786
145,25.04,13.22898
146,24.25,14.213753
147,24.03,14.848177
148,24.72,15.224838
149,24.690000000000005,15.596479
150,26.2,15.827262
151,25.49,16.334925
152,25.930000000000003,16.591825
153,26.59,16.860134
154,24.96,17.2224
155,25.75,17.099817
156,24.96,17.086338
157,24.57,16.842752
158,23.98,16.4761
159,23.0,15.968921
160,22.85,15.249621
161,23.29,14.559953
162,23.18,14.102206
163,24.1,13.764496
164,23.550000000000004,13.796077
165,23.530000000000005,13.806579
166,23.56,13.86553
167,23.5,13.959089
168,23.23,14.044035
169,23.2,14.050103
170,22.76,14.029324
171,21.47,13.882552
172,19.78,13.391264
173,19.95,12.456213
174,20.89,11.595728
175,20.66,11.10445
176,20.94,10.732132
177,20.73,10.581552
178,21.66,10.503588
179,21.32,10.7487335
180,20.04,10.970584
181,20.31,10.861758
182,20.47,10.779882
183,19.88,10.731526
184,20.44,10.536215
185,20.33,10.486185
186,20.19,10.437614
187,21.67,10.372719
188,22.49,10.705675
189,22.26,11.2860565
190,23.989999999999995,11.797888
191,23.749999999999996,12.683577
192,23.34,13.431355
193,23.54,13.926616
194,23.25,14.304078
195,23.899999999999995,14.461167
196,23.839999999999996,14.661438
197,23.19,14.770315
198,22.03,14.647044
199,22.699999999999996,14.169391
200,21.14,13.836404
201,22.54,13.1486845
202,24.36,12.868057
203,24.849999999999998,13.181723
204,23.96,13.744722
205,25.1,14.113776
206,20.79,14.721918
207,19.96,14.155859
208,19.98,13.215911
209,19.54,12.249957
210,19.09,11.260061
211,18.47,10.306869
212,18.59,9.383706
213,18.96,8.695598
214,18.93,8.320507
215,18.79,8.13768
216,19.06,8.067836
217,19.82,8.166149
218,19.5,8.524227
219,19.13,8.830306
