,Real,Predicted
0,48.5,53.2623
1,51.44,53.90177
2,50.0,55.614983
3,50.5,55.988262
4,51.69,56.314613
5,54.31,56.949642
6,56.11000000000001,58.426365
7,56.81,60.039616
8,58.06000000000001,61.187523
9,59.19,62.257378
10,59.5,63.232082
11,60.93999999999999,63.79117
12,63.44,64.61296
13,62.44,66.09742
14,58.440000000000005,66.41762
15,62.0,64.658775
16,58.88,65.0734
17,58.440000000000005,63.97399
18,57.75,63.110806
19,58.0,62.346886
20,56.86,62.085068
21,55.23,61.514748
22,60.66,60.514915
23,59.94,62.40315
24,61.04999999999999,63.32626
25,56.68999999999999,64.31844
26,52.18999999999999,62.884125
27,53.5,59.911633
28,51.44,58.733425
29,48.94,57.31109
30,53.5,55.52889
31,25.75,56.66352
32,24.25,45.3291
33,22.31,37.85959
34,23.620000000000005,33.18195
35,22.06,31.740633
36,22.19,30.940315
37,21.75,31.02542
38,20.87,31.239079
39,19.62,31.19351
40,20.0,30.737097
41,22.06,30.700527
42,21.5,31.658413
43,20.12,32.06309
44,20.12,31.690973
45,18.94,31.429781
46,19.5,30.76314
47,20.37,30.617077
48,18.87,30.959185
49,18.5,30.556677
50,18.5,30.14782
51,18.56,29.920765
52,19.31,29.84593
53,19.56,30.161875
54,20.5,30.491207
55,22.31,31.099487
56,22.25,32.24225
57,21.44,32.87457
58,21.31,32.815464
59,20.06,32.630314
60,20.19,31.923244
61,19.06,31.52663
62,19.37,30.822054
63,20.25,30.562216
64,19.87,30.849285
65,19.0,30.91256
66,18.5,30.583904
67,18.94,30.165926
68,18.81,30.121265
69,18.5,30.07559
70,19.31,29.937048
71,18.69,30.221
72,18.03,30.14564
73,17.56,29.805557
74,16.5,29.392645
75,17.06,28.698566
76,16.69,28.549994
77,17.0,28.360703
78,14.31,28.422745
79,14.31,27.329746
80,15.06,26.67001
81,15.190000000000001,26.663736
82,15.38,26.8
83,15.0,27.014885
84,14.44,27.00294
85,14.059999999999999,26.7519
86,14.25,26.43308
87,14.000000000000002,26.335062
88,14.38,26.19547
89,14.059999999999999,26.29666
90,15.0,26.242466
91,14.689999999999998,26.623316
92,14.81,26.732723
93,14.81,26.834116
94,14.88,26.880613
95,14.88,26.924774
96,16.37,26.940954
97,17.06,27.589054
98,16.37,28.28478
99,16.56,28.373022
100,17.19,28.44382
101,16.56,28.718956
102,18.0,28.586836
103,17.19,29.097317
104,17.12,29.049885
105,16.81,28.951458
106,18.69,28.73646
107,19.5,29.41519
108,19.25,30.197311
109,20.5,30.535616
110,20.5,31.220695
111,19.94,31.585426
112,19.56,31.491636
113,21.69,31.203274
114,21.75,31.921375
115,21.62,32.390083
116,21.12,32.576797
117,20.62,32.418938
118,20.19,32.060513
119,21.12,31.636457
120,20.75,31.791765
121,20.75,31.7581
122,19.12,31.744427
123,19.69,31.031868
124,19.12,30.843645
125,19.5,30.524918
126,20.06,30.530025
127,19.0,30.817265
128,18.31,30.555923
129,18.87,30.089834
130,18.81,30.05968
131,18.81,30.052008
132,19.5,30.07003
133,19.37,30.395262
134,18.25,30.54711
135,18.75,30.138292
136,19.25,30.085815
137,20.37,30.286734
138,21.5,30.910614
139,21.25,31.783249
140,20.81,32.17276
141,20.25,32.14578
142,18.62,31.819218
143,19.56,30.872314
144,20.44,30.695528
145,19.69,31.02558
146,19.62,30.943893
147,20.56,30.864906
148,19.69,31.231691
149,20.12,31.087975
150,21.62,31.16886
151,23.0,31.871767
152,21.78,32.902832
153,22.87,32.961987
154,22.17,33.385666
155,22.529999999999998,33.289238
156,22.07,33.330864
157,21.589999999999996,33.129883
158,20.24,32.778297
159,19.5,31.973967
160,20.87,31.176025
161,20.59,31.339418
162,20.54,31.399715
163,22.04,31.450092
164,21.8,32.151226
165,22.420000000000005,32.486828
166,21.44,32.926384
167,20.4,32.72981
168,22.789999999999996,32.106342
169,25.72,32.748016
170,25.04,34.45265
171,24.25,35.18421
172,24.03,35.172546
173,24.72,34.959206
174,24.690000000000005,35.067898
175,26.2,35.099396
176,25.49,35.7576
177,25.930000000000003,35.83773
178,26.59,36.029305
179,24.96,36.402023
180,25.75,35.88754
181,24.96,35.87459
182,24.57,35.529152
183,23.98,35.150043
184,23.0,34.68157
185,22.85,34.00044
186,23.29,33.563015
187,23.18,33.55348
188,24.1,33.564575
189,23.550000000000004,34.01025
190,23.530000000000005,34.066418
191,23.56,34.078102
192,23.5,34.088398
193,23.23,34.063194
194,23.2,33.9267
195,22.76,33.829506
196,21.47,33.58622
197,19.78,32.88442
198,19.95,31.736008
199,20.89,31.155523
200,20.66,31.306667
201,20.94,31.391245
202,20.73,31.607843
203,21.66,31.67006
204,21.32,32.113068
205,20.04,32.235954
206,20.31,31.726654
207,20.47,31.507828
208,19.88,31.46174
209,20.44,31.200415
210,20.33,31.298973
211,20.19,31.3371
212,21.67,31.30772
213,22.49,31.936848
214,22.26,32.686707
215,23.989999999999995,33.013397
216,23.749999999999996,33.904293
217,23.34,34.293125
218,23.54,34.26783
219,23.25,34.2673
220,23.899999999999995,34.10074
221,23.839999999999996,34.258198
222,23.19,34.324783
223,22.03,34.068718
224,22.699999999999996,33.39219
225,21.14,33.274864
226,22.54,32.567284
227,24.36,32.772297
228,24.849999999999998,33.75363
229,23.96,34.594563
230,25.1,34.677067
231,20.79,35.148888
232,19.96,33.511684
233,19.98,32.08599
234,19.54,31.284138
235,19.09,30.721487
236,18.47,30.294931
237,18.59,29.860947
238,18.96,29.726976
239,18.93,29.878857
240,18.79,30.010916
241,19.06,30.05288
242,19.82,30.202213
243,19.5,30.62797
244,19.13,30.745716
245,19.25,30.629032
246,18.9,30.586876
247,19.05,30.403542
248,19.02,30.35519
249,19.09,30.323128
250,18.73,30.34244
251,18.44,30.20441
252,18.65,29.995222
253,18.07,29.966883
254,18.12,29.715181
255,17.92,29.593014
256,18.21,29.452494
257,17.81,29.511665
258,18.57,29.394314
259,18.92,29.66007
260,18.4,29.98893
261,17.83,29.957077
262,17.83,29.664772
263,18.55,29.472488
264,18.25,29.67822
265,18.55,29.693035
266,17.72,29.830038
267,17.28,29.55149
268,17.37,29.178156
269,16.99,28.99791
270,16.28,28.750284
271,17.02,28.315443
272,15.680000000000001,28.397919
273,15.729999999999999,27.910383
274,16.45,27.649494
275,15.54,27.841824
276,15.149999999999999,27.605143
277,15.51,27.299921
278,15.51,27.288439
279,15.54,27.31259
280,15.050000000000002,27.359287
281,14.98,27.185171
282,15.88,27.050022
283,16.14,27.370073
284,16.2,27.697414
285,16.0,27.916159
286,16.82,27.939695
287,17.74,28.283657
288,18.01,28.88048
289,17.99,29.337442
290,18.01,29.558338
291,16.99,29.645912
292,18.0,29.210346
293,18.3,29.347944
294,19.02,29.571407
295,18.14,30.017675
296,18.95,29.893583
297,19.19,30.131672
298,18.67,30.36981
299,17.63,30.268002
300,17.6,29.724836
301,17.56,29.366049
302,18.59,29.153742
303,18.57,29.506506
304,19.07,29.748978
305,19.57,30.113304
306,19.59,30.540236
307,18.71,30.78227
308,18.71,30.50597
309,18.75,30.296583
310,19.37,30.179714
311,19.61,30.38674
312,19.45,30.6311
313,18.97,30.706066
314,20.0,30.524769
315,19.53,30.84597
316,19.68,30.842495
317,19.84,30.88715
318,21.37,30.974205
319,21.0,31.685844
320,20.53,31.954184
321,20.42,31.865736
322,21.3,31.719185
323,21.05,31.992617
324,22.4,32.050095
325,23.76,32.65523
326,22.78,33.607807
327,22.54,33.722614
328,22.54,33.604725
329,21.78,33.4779
330,21.49,33.044403
331,21.0,32.643784
332,20.39,32.20456
333,20.62,31.703032
334,21.01,31.539211
335,21.62,31.663654
336,20.67,32.047394
337,21.0,31.886274
338,21.36,31.91671
339,21.49,32.09557
340,22.07,32.263187
341,22.43,32.60943
342,21.9,32.96477
343,23.3,32.923504
344,23.58,33.470554
345,23.689999999999998,33.91172
346,22.9,34.1876
347,22.610000000000003,33.96099
348,21.649999999999995,33.648304
349,21.23,33.024097
350,21.05,32.466816
351,21.15,32.08754
352,21.699999999999996,31.954105
353,20.78,32.16588
354,22.480000000000004,31.934338
355,22.17,32.54133
356,21.82,32.801254
357,23.02,32.783966
358,23.21,33.267727
359,23.25,33.634827
360,23.27,33.841366
361,23.07,33.93432
362,24.09,33.86759
363,24.72,34.2449
364,24.41,34.741257
365,25.35,34.881626
366,25.45,35.33081
367,24.670000000000005,35.615463
368,24.3,35.40182
369,24.03,35.063526
370,24.98,34.72434
371,24.710000000000004,34.942524
372,25.01,34.985725
373,24.600000000000005,35.144016
374,23.899999999999995,35.059967
375,22.619999999999997,34.6913
376,23.13,33.90446
377,21.5,33.663754
378,22.740000000000002,32.86464
379,23.810000000000002,32.960255
380,23.669999999999998,33.561954
381,21.96,33.909077
382,21.699999999999996,33.36195
383,23.45,32.882698
384,24.29,33.368866
385,23.530000000000005,34.075687
386,24.07,34.172882
