,MSFT_open,MSFT_high,MSFT_low,MSFT_close,AAPL_open,AAPL_high,AAPL_low,AAPL_close,TSLA_open,TSLA_high,TSLA_low,TSLA_close,JNJ_open,JNJ_high,JNJ_low,JNJ_close,REGN_open,REGN_high,REGN_low,REGN_close,GILD_open,GILD_high,GILD_low,GILD_close
2010-06-29,24.1300,24.2000,23.1100,23.3100,264.1205,264.3900,254.3000,256.1700,19.0000,25.0000,17.5400,23.8900,58.9800,59.4200,58.6800,59.2400,23.6700,23.9500,22.8600,22.9800,35.4000,35.6100,34.7400,34.9700
2010-06-30,23.3000,23.6800,22.9500,23.0100,256.7100,257.9700,250.0100,251.5300,25.7900,30.4192,23.3000,23.8300,59.0400,59.6100,58.9400,59.0600,23.0500,23.4700,22.3200,22.3200,34.8300,35.1300,34.2600,34.2800
2010-07-01,23.0900,23.3200,22.7300,23.1600,254.3000,254.8000,243.2200,248.4800,25.0000,25.9200,20.2700,21.9600,59.0700,59.2500,58.6500,59.0700,22.3100,22.3700,20.4500,20.7900,34.2400,34.2700,33.3000,34.1400
2010-07-02,23.3600,23.4800,23.0500,23.2700,250.4900,250.9300,243.2000,246.9400,23.0000,23.1000,18.7100,19.2000,59.4200,59.5900,58.8500,59.0800,21.0600,21.8800,20.7500,21.6100,34.3800,35.1600,34.1800,34.8700
2010-07-06,23.7000,24.0900,23.5840,23.8200,251.0000,252.8000,246.1600,248.6300,20.0000,20.0000,15.8300,16.1100,59.5000,59.6000,58.6690,59.0800,22.0300,22.0300,21.1600,21.3600,35.1100,35.4200,34.4150,34.7700
2010-07-07,23.8200,24.3200,23.6100,24.3000,250.4900,258.7700,249.7500,258.6650,16.4000,16.6300,14.9800,15.8000,59.3300,60.7000,59.0350,60.6100,21.4500,21.8000,21.0800,21.6800,34.6700,35.0100,34.2700,34.9400
2010-07-08,24.6000,24.6200,23.9719,24.4095,262.4800,262.9000,254.8900,258.0900,16.1400,17.5200,15.5700,17.4600,60.9300,61.7300,60.6400,61.3800,21.9500,22.3100,21.7900,22.3000,34.9900,35.0670,34.3400,34.8200
2010-07-09,24.3300,24.4100,24.1500,24.2700,256.8900,259.9000,255.1600,259.6200,17.5800,17.9000,16.5500,17.4000,60.9700,61.0700,60.3800,60.5400,22.3000,23.2500,22.1100,23.2200,34.7300,34.9150,34.4700,34.7400
2010-07-12,24.4300,24.8900,24.4200,24.8300,258.5300,261.8500,254.8600,257.2850,17.9500,18.0700,17.0000,17.0500,60.4800,60.5400,60.0600,60.2100,23.1900,23.4000,22.3800,22.4300,34.7000,34.7300,34.2998,34.4800
2010-07-13,25.1400,25.3000,24.9000,25.1300,256.3200,256.4000,246.4300,251.7980,17.3938,18.6400,16.9000,18.1400,60.5900,60.9600,60.4400,60.5000,22.8200,23.1800,22.7000,23.0900,34.6400,35.4500,34.5200,35.2000
2010-07-14,25.5000,25.6100,25.1200,25.4400,249.3800,255.8000,249.0000,252.7270,17.9400,20.1500,17.7601,19.8400,60.1600,60.6755,60.0500,60.6200,22.9400,23.1700,22.8000,23.0600,35.3300,35.4900,34.7000,34.8100
2010-07-15,25.5000,25.5900,24.9800,25.5100,248.2300,256.9700,247.3000,251.4500,19.9400,21.5000,19.0000,19.8900,60.6200,60.7500,59.9000,60.2600,23.1900,24.1700,23.1400,23.3300,34.9000,35.2400,34.6000,34.9000
2010-07-16,25.5100,25.6400,24.8800,24.8900,253.1800,254.9700,248.4100,249.9000,20.7000,21.3000,20.0500,20.6400,60.0000,60.1900,59.2500,59.4400,23.0800,23.2727,22.4300,22.4800,34.4800,34.8900,31.8300,31.9400
2010-07-19,24.9600,25.3000,24.9100,25.2300,249.8800,249.8800,239.6000,245.5800,21.3700,22.2500,20.9200,21.9100,59.7200,59.7900,59.3650,59.5700,22.5800,22.9400,22.1200,22.3600,32.0000,33.1600,31.9900,32.9100
2010-07-20,24.8600,25.4800,24.7000,25.4800,242.9000,252.9000,240.0100,251.8900,21.8500,21.8500,20.0500,20.3000,58.4500,58.7700,58.0000,58.5800,22.0400,22.6300,21.7900,22.5900,32.6600,33.0400,32.5300,33.0000
